,competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,x_jitter,y_jitter
0,100 Grand,1,0,1,0,0,1,0,1,0,0.73199999,0.86000001,66.971725,1.2935939576794249,-0.2591804143194143
1,3 Musketeers,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,67.602936,0.9415801515915478,-0.28441206693876264
2,One dime,0,0,0,0,0,0,0,0,0,0.011,0.116,32.261086,-0.018039497659378664,-0.26528274905225785
3,One quarter,0,0,0,0,0,0,0,0,0,0.011,0.51099998,46.116505,0.020301693304251724,-0.33020462717690136
4,Air Heads,0,1,0,0,0,0,0,0,0,0.90600002,0.51099998,52.341465,-0.5525016272716392,-0.57135793664368
5,Almond Joy,1,0,0,1,0,0,0,1,0,0.465,0.76700002,50.347546,1.2866178027796007,0.16677302941974956
6,Baby Ruth,1,0,1,1,1,0,0,1,0,0.60399997,0.76700002,56.914547,1.471456780372136,-0.38034852638785355
7,Boston Baked Beans,0,0,0,1,0,0,0,0,1,0.31299999,0.51099998,23.417824,-0.21269998706703822,0.6501919172538406
8,Candy Corn,0,0,0,0,0,0,0,0,1,0.90600002,0.32499999,38.010963,-0.382363394680361,0.37467987228863664
9,Caramel Apple Pops,0,1,1,0,0,0,0,0,0,0.60399997,0.32499999,34.517681,-0.22837757655028162,-0.7882408402402773
10,Charleston Chew,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,38.975037,1.2555718746452995,-0.38286262113215086
11,Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,36.017628,-0.7147234927764026,0.2412626013664677
12,Chiclets,0,1,0,0,0,0,0,0,1,0.046,0.32499999,24.524988,-0.8577722244482319,0.2622728429941025
13,Dots,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,42.272076,-0.8635657208987415,0.1893512197828818
14,Dum Dums,0,1,0,0,0,0,1,0,0,0.73199999,0.034000002,39.460556,-0.7254843634743497,-1.0346363578456994
15,Fruit Chews,0,1,0,0,0,0,0,0,1,0.127,0.034000002,43.088924,-0.8302321023714597,0.1658459982551133
16,Fun Dip,0,1,0,0,0,0,1,0,0,0.73199999,0.32499999,39.185505,-0.7372581312001504,-0.8128121488346247
17,Gobstopper,0,1,0,0,0,0,1,0,1,0.90600002,0.45300001,46.783348,-1.1367874902546535,-0.4282886013947914
18,Haribo Gold Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,57.11974,-0.8662496112996627,0.2052826626535107
19,Haribo Happy Cola,0,0,0,0,0,0,0,0,1,0.465,0.465,34.158958,-0.2785217969444996,0.6428665374791741
20,Haribo Sour Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,51.41243,-0.7783412311888956,0.18368901443224303
21,Haribo Twin Snakes,0,1,0,0,0,0,0,0,1,0.465,0.465,42.178772,-0.8559292679412105,0.09821927242933161
22,Hershey's Kisses,1,0,0,0,0,0,0,0,1,0.127,0.093000002,55.375454,0.14664644891707188,0.9098592749818124
23,Hershey's Krackel,1,0,0,0,0,1,0,1,0,0.43000001,0.91799998,62.284481,1.098000912919714,-0.03290072583516557
24,Hershey's Milk Chocolate,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,56.490501,1.0639837045306242,-0.0015233514371189583
25,Hershey's Special Dark,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,59.236122,0.9437880169240868,-0.12943676343084995
26,Jawbusters,0,1,0,0,0,0,1,0,1,0.093000002,0.51099998,28.127439,-1.1272483758219862,-0.3406203255857528
27,Junior Mints,1,0,0,0,0,0,0,0,1,0.197,0.51099998,57.21925,0.20836375156218553,0.752755469150836
28,Kit Kat,1,0,0,0,0,1,0,1,0,0.31299999,0.51099998,76.7686,1.072195729465826,-0.3326181448609419
29,Laffy Taffy,0,1,0,0,0,0,0,0,0,0.22,0.116,41.389557,-0.4352115753268346,-0.6136006910476814
30,Lemonhead,0,1,0,0,0,0,1,0,0,0.046,0.104,39.141056,-0.6902564646240732,-0.823380817853399
31,Lifesavers big ring gummies,0,1,0,0,0,0,0,0,0,0.26699999,0.27900001,52.911392,-0.510400457361171,-0.5447277387153842
32,Peanut butter M&M's,1,0,0,1,0,0,0,0,1,0.82499999,0.65100002,71.46505,0.3267528850251572,0.912288988956706
33,M&M's,1,0,0,0,0,0,0,0,1,0.82499999,0.65100002,66.574585,0.15218786087193736,0.8264414449149509
34,Mike & Ike,0,1,0,0,0,0,0,0,1,0.87199998,0.32499999,46.411716,-1.011413150406927,0.17460869089423942
35,Milk Duds,1,0,1,0,0,0,0,0,1,0.30199999,0.51099998,55.064072,0.5304634712875025,0.6982635913133134
36,Milky Way,1,0,1,0,1,0,0,1,0,0.60399997,0.65100002,73.099556,1.3281448807032763,-0.4951373583836721
37,Milky Way Midnight,1,0,1,0,1,0,0,1,0,0.73199999,0.44100001,60.800701,1.232646822531161,-0.3092116173432248
38,Milky Way Simply Caramel,1,0,1,0,0,0,0,1,0,0.96499997,0.86000001,64.35334,1.2305943484045545,-0.3359055065867796
39,Mounds,1,0,0,0,0,0,0,1,0,0.31299999,0.86000001,47.829754,0.9883222437957173,-0.04688446565679491
40,Mr Good Bar,1,0,0,1,0,0,0,1,0,0.31299999,0.91799998,54.526451,1.0014041028338716,-0.05679267507954672
41,Nerds,0,1,0,0,0,0,1,0,1,0.84799999,0.32499999,55.354046,-1.0543488928800344,-0.1292200293075304
42,Nestle Butterfinger,1,0,0,1,0,0,0,1,0,0.60399997,0.76700002,70.735641,1.2020777233130635,-0.15588596115054076
43,Nestle Crunch,1,0,0,0,0,1,0,1,0,0.31299999,0.76700002,66.47068,1.0141986788325643,-0.25908792853599283
44,Nik L Nip,0,1,0,0,0,0,0,0,1,0.197,0.97600001,22.445341,-0.8480947375561042,0.06990565523533532
45,Now & Later,0,1,0,0,0,0,0,0,1,0.22,0.32499999,39.4468,-0.8451949442544108,0.33929879210746305
46,Payday,0,0,0,1,1,0,0,1,0,0.465,0.76700002,46.296597,0.7200813480053437,-0.4355450820328637
47,Peanut M&Ms,1,0,0,1,0,0,0,0,1,0.59299999,0.65100002,69.483788,0.42096263102683273,0.9715534346382781
48,Pixie Sticks,0,0,0,0,0,0,0,0,1,0.093000002,0.023,37.722336,-0.3223992332240396,0.78060827412087
49,Pop Rocks,0,1,0,0,0,0,1,0,1,0.60399997,0.83700001,41.265511,-0.9295637813770978,-0.23261557036401698
50,Red vines,0,1,0,0,0,0,0,0,1,0.58099997,0.116,37.348522,-0.9077957108544698,0.07375979928097286
51,Reese's Miniatures,1,0,0,1,0,0,0,0,0,0.034000002,0.27900001,81.866257,0.7418855870050404,0.25667175184139224
52,Reese's Peanut Butter cup,1,0,0,1,0,0,0,0,0,0.72000003,0.65100002,84.18029,0.9130946920462413,0.2520233821273989
53,Reese's pieces,1,0,0,1,0,0,0,0,1,0.40599999,0.65100002,73.43499,0.2950687637907148,1.0253109266111502
54,Reese's stuffed with pieces,1,0,0,1,0,0,0,0,0,0.98799998,0.65100002,72.887901,0.6333258274464499,0.13540442168897548
55,Ring pop,0,1,0,0,0,0,1,0,0,0.73199999,0.96499997,35.290756,-0.6757190179251321,-0.7967664211852781
56,Rolo,1,0,1,0,0,0,0,0,1,0.86000001,0.86000001,65.716286,0.24557279041165045,0.8057487296438267
57,Root Beer Barrels,0,0,0,0,0,0,1,0,1,0.73199999,0.068999998,29.703691,-0.6231823163240988,0.15448848723627
58,Runts,0,1,0,0,0,0,1,0,1,0.87199998,0.27900001,42.849144,-0.8248747520804982,-0.27907400585400666
59,Sixlets,1,0,0,0,0,0,0,0,1,0.22,0.081,34.722,0.09457102666561525,1.1149083473342696
60,Skittles original,0,1,0,0,0,0,0,0,1,0.94099998,0.22,63.08514,-0.7933894535559872,0.15929972568536543
61,Skittles wildberry,0,1,0,0,0,0,0,0,1,0.94099998,0.22,55.103695,-0.7168513420589704,0.16166455816399206
62,Nestle Smarties,1,0,0,0,0,0,0,0,1,0.26699999,0.97600001,37.887188,0.2116997691435566,0.7910587873673773
63,Smarties candy,0,1,0,0,0,0,1,0,1,0.26699999,0.116,45.995827,-0.9630216217203885,-0.15650459330774524
64,Snickers,1,0,1,1,1,0,0,1,0,0.546,0.65100002,76.673782,1.4866953273667676,-0.2906042464475346
65,Snickers Crisper,1,0,1,1,0,1,0,1,0,0.60399997,0.65100002,59.529251,1.5428080806828537,-0.09098541117593288
66,Sour Patch Kids,0,1,0,0,0,0,0,0,1,0.068999998,0.116,59.863998,-0.8873374221680127,0.21879293090234903
67,Sour Patch Tricksters,0,1,0,0,0,0,0,0,1,0.068999998,0.116,52.825947,-0.8242754658751601,0.12509646906701802
68,Starburst,0,1,0,0,0,0,0,0,1,0.15099999,0.22,67.037628,-0.8474993440045469,0.16810436954910601
69,Strawberry bon bons,0,1,0,0,0,0,1,0,1,0.56900001,0.057999998,34.578991,-1.2019382954354851,-0.31599151227108574
70,Sugar Babies,0,0,1,0,0,0,0,0,1,0.96499997,0.76700002,33.43755,-0.07599850250106296,0.535115302659113
71,Sugar Daddy,0,0,1,0,0,0,0,0,0,0.41800001,0.32499999,32.230995,0.285184883176045,-0.1375284662929358
72,Super Bubble,0,1,0,0,0,0,0,0,0,0.162,0.116,27.303865,-0.5712438620709732,-0.44938057034514295
73,Swedish Fish,0,1,0,0,0,0,0,0,1,0.60399997,0.755,54.861111,-0.751776988358204,0.17375642651602227
74,Tootsie Pop,1,1,0,0,0,0,1,0,0,0.60399997,0.32499999,48.982651,-0.14518500374640583,-0.5417251901499348
75,Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0,0.31299999,0.51099998,43.068897,0.6529249207720523,-0.12180600059003352
76,Tootsie Roll Midgies,1,0,0,0,0,0,0,0,1,0.17399999,0.011,45.736748,0.1885294119943079,0.8430613014087521
77,Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0,0.465,0.32499999,49.653503,0.9230417510012172,-0.2748909564248839
78,Trolli Sour Bites,0,1,0,0,0,0,0,0,1,0.31299999,0.255,47.173229,-0.8355065452298828,0.272385782300199
79,Twix,1,0,1,0,0,1,0,1,0,0.546,0.90600002,81.642914,1.2350417496864654,-0.3405737264590906
80,Twizzlers,0,1,0,0,0,0,0,0,0,0.22,0.116,45.466282,-0.5955647790868799,-0.645648336196149
81,Warheads,0,1,0,0,0,0,1,0,0,0.093000002,0.116,39.011898,-0.7142714468345313,-0.7817947888420262
82,Welch's Fruit Snacks,0,1,0,0,0,0,0,0,1,0.31299999,0.31299999,44.375519,-0.9126988645236911,0.1308825309792632
83,Werther's Original Caramel,0,0,1,0,0,0,1,0,0,0.186,0.26699999,41.904308,-0.00810767634214346,-0.8034328471672922
84,Whoppers,1,0,0,0,0,1,0,0,1,0.87199998,0.84799999,49.524113,0.39463417415441215,0.5777821414105336
